,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,75,AR,1570379742,81,-54.81,-68.31,44.6,21.92
1,puerto ayora,75,AR,1570379743,50,-51.62,-69.23,53.6,16.11
2,albany,90,US,1570379547,67,42.65,-73.75,62.01,17.22
3,bekwai,84,GH,1570379743,96,6.46,-1.58,74.36,3.76
4,lebu,20,ET,1570379743,63,8.96,38.73,64.4,18.34
5,goure,97,NE,1570379744,56,13.98,10.27,87.01,3.0
6,celestun,6,MX,1570379744,75,20.87,-90.4,82.8,7.16
7,cape town,75,CL,1570379744,59,-36.41,-71.9,60.8,4.7
8,mataura,89,NZ,1570379745,93,-46.19,168.86,43.0,1.01
9,salalah,40,OM,1570379745,83,17.01,54.1,80.6,10.29
10,dera bugti,12,ET,1570379745,71,8.33,39.32,61.54,4.45
11,chodavaram,40,IN,1570379746,94,17.44,81.78,77.0,4.7
12,taseyevo,98,RU,1570379746,83,57.22,94.9,39.69,4.21
13,canillo,95,FR,1570379747,21,42.57,1.6,64.0,7.0
14,pangnirtung,90,CA,1570379747,63,66.15,-65.72,30.2,5.82
15,poum,20,MK,1570379748,62,41.28,20.71,55.4,2.24
16,thompson,90,CA,1570379748,87,55.74,-97.86,44.6,10.29
17,ovalle,0,CL,1570379749,24,-30.6,-71.2,80.03,12.12
18,punta arenas,20,PH,1570379749,69,14.18,121.12,82.4,3.36
19,eenhana,0,NA,1570379749,13,-17.48,16.34,98.6,7.11
20,rikitea,100,PF,1570379750,91,-23.12,-134.97,72.97,19.66
21,port elizabeth,29,CD,1570379750,55,-7.04,29.76,71.78,2.35
22,caravelas,6,BR,1570379750,72,-17.73,-39.27,78.6,14.5
23,provideniya,0,RU,1570379750,83,64.42,-173.23,24.14,7.61
24,ancud,75,CL,1570379751,76,-41.87,-73.83,51.8,17.22
25,klaksvik,81,FO,1570379751,81,62.23,-6.59,51.8,28.86
26,paita,0,PE,1570379751,290,-5.09,-81.11,62.6,21.92
27,clyde river,82,NZ,1570379752,93,-45.19,169.32,32.0,5.66
28,ouallam,20,NE,1570379752,44,14.32,2.08,88.61,6.46
